"AI_usage_freq","hours_online","AI_confidence","AI_comfort","pre_attachment_knowledge","attachment_encounters_freq","AI_replace_human_freq","digital_effect_mind","AI_influence_decisions","feeling_lonely","human_relation_satisfaction","AI_emotional_support","AI_form_of_companionship","AI_to_human_meaningful","AI_to_human_comfort","AI_to_human_emotional_safety","AI_trust","AI_boundaries","AI_boundaries_change","risk_concern","dependency_concerns","AI_rely_growth","open_to_AI_relationship","AI_replace_human","socially_acceptable","personal_or_other_relationship","only_humans","clear_life_priorities","clear_values","decisions_align_values","decisions_conflict_values","clear_AI_values","AI_values_align_personal","AI_emotion_align_personal","AI_different_values_concern","AI_future_values_confidence","AI_respect_expectations","interest_in_daily_life","emotional_wellbeing","age","gender","country","education","work_status","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values","emotional_AI_use"
"Very often","5–6 hours",5,6,4,"Occasionally","Rarely","Significantly",6,2,6,2,5,2,2,3,5,5,"Yes, they have become stronger",3,2,3,3,2,3,"No, neither myself nor anyone I know",7,6,6,5,4,4,5,4,5,2,3,4,5,"25 - 34","Man","Canada","Bachelor’s degree","Employed full time","0","0","1","0","0","1","0","1","0","0",0
"Rarely","Less than 2 hours",3,5,3,"Rarely","Sometimes","Significantly",3,3,5,4,5,5,5,3,4,5,"Yes, they have become stronger",4,5,4,6,4,5,"Yes, someone I personally know has",4,4,5,6,4,4,3,5,6,5,4,3,4,"18 - 24","Woman","US","Bachelor’s degree","Employed full time","1","0","0","0","1","0","0","0","0","0",0
"Everyday","5–6 hours",5,6,3,"Occasionally","Rarely","Moderately",5,3,5,3,1,1,2,2,4,6,"No, they have stayed the same",6,1,4,1,5,1,"No, neither myself nor anyone I know",7,6,6,5,6,3,4,4,3,5,4,2,4,"25 - 34","Woman","UK","Postgraduate degree","Employed full time","1","0","1","0","0","0","0","0","0","0",0
"Occasionally","2–4 hours",5,5,1,"Never","Never","Not at all",1,1,7,1,1,1,1,1,2,1,"No, they have stayed the same",6,1,1,1,1,4,"No, neither myself nor anyone I know",7,7,7,7,1,7,4,4,4,1,5,5,6,"Over 65","Woman","UK","Bachelor’s degree","Other","0","1","1","0","0","1","0","0","0","0",0
"Sometimes","2–4 hours",5,5,3,"Rarely","Sometimes","Slightly",4,2,6,1,1,1,1,1,2,2,"No, they have stayed the same",7,1,1,1,1,2,"No, neither myself nor anyone I know",1,5,5,5,3,5,2,2,5,3,5,3,5,"25 - 34","Man","US","Some university/college","Employed full time","0","0","1","0","1","0","0","1","0","0",0
"Everyday","7–8 hours",7,6,5,"Never","Sometimes","Significantly",3,1,6,4,3,5,7,7,7,6,"Yes, they have become stronger",2,4,5,7,4,6,"No, neither myself nor anyone I know",4,7,5,7,4,7,7,6,3,5,5,4,7,"25 - 34","Man","UK","Bachelor’s degree","Employed full time","0","0","1","0","0","1","0","0","1","0",1
"Very often","9–10 hours",6,6,2,"Rarely","Occasionally","Significantly",6,6,2,1,2,1,6,7,5,3,"No, they have stayed the same",5,1,5,3,2,2,"No, neither myself nor anyone I know",7,5,6,2,6,5,4,5,1,4,5,2,2,"35 - 44","Woman","UK","Bachelor’s degree","Self-employed / freelance","0","0","1","0","1","0","1","0","0","0",0
"Very often","9–10 hours",5,5,3,"Rarely","Rarely","Moderately",5,7,1,2,2,2,6,6,5,3,"I’m not sure",3,2,3,2,4,2,"No, neither myself nor anyone I know",5,3,2,2,5,5,5,5,3,5,6,2,1,"18 - 24","Man","UK","High school","Student","1","0","1","0","0","0","0","1","0","0",1
"Often","2–4 hours",6,6,4,"Rarely","Rarely","Not at all",2,2,6,1,1,1,2,2,5,5,"No, they have stayed the same",4,1,3,1,2,1,"No, neither myself nor anyone I know",7,7,7,7,6,4,5,5,3,5,5,4,6,"45 - 54","Woman","US","Bachelor’s degree","Employed full time","1","0","0","0","1","1","0","0","0","0",0
"Very often","5–6 hours",6,5,4,"Occasionally","Rarely","Significantly",3,3,7,2,1,1,5,2,1,7,"No, they have stayed the same",7,1,2,1,1,3,"No, neither myself nor anyone I know",7,7,7,7,3,1,3,1,6,3,3,4,6,"45 - 54","Man","UK","Postgraduate degree","Self-employed / freelance","0","1","1","0","1","0","0","0","0","0",0
"Everyday","5–6 hours",6,7,4,"Often","Occasionally","Significantly",6,5,4,4,6,5,6,6,6,5,"Yes, they have become stronger",6,6,6,5,6,6,"Yes, I personally have",6,6,5,6,3,5,6,6,3,6,5,5,5,"35 - 44","Man","UK","Bachelor’s degree","Employed full time","0","1","1","0","0","0","1","0","0","0",1
"Rarely","5–6 hours",4,4,3,"Rarely","Never","Slightly",3,1,7,2,2,3,2,2,3,4,"No, they have stayed the same",5,2,2,3,2,2,"No, neither myself nor anyone I know",6,7,7,7,1,2,2,2,2,2,2,5,7,"Over 65","Woman","UK","Some university/college","Not currently working","0","1","0","0","0","0","0","1","1","0",0
