"AI_usage_freq","hours_online","AI_help_decisions","confident_in_AI_decisions","rely_on_AI","AI_clarity","second_guessing_self","AI_differs","AI_thinking_right_track","pause_to_check","AI_important_decisions","change_own_decisions","AI_influence_decisions_think","AI_persuasive","judgement_separation","rely_awareness","independent_without_AI","AI_influence_decisions","reflect_decision_style","conflicted_ab_influence","AI_effect_strength","AI_best_interest","clear_life_priorities","digital_effect_mind","AI_growing_role","age","gender","country","education","work_status","emotional_wellbeing","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values"
"Sometimes","5–6 hours",4,6,5,6,4,5,5,4,5,3,3,4,4,5,5,5,4,3,5,5,5,5,3,"45 - 54","Man","Canada","Bachelor’s degree","Employed full time",5,"1","0","0","0","0","0","1","1","0","0"
"Often","2–4 hours",3,4,4,7,2,5,4,2,5,5,6,6,4,5,2,5,5,1,5,5,7,5,6,"55 - 65","Man","UK","High school","Employed part-time",7,"0","0","0","0","1","0","0","1","1","0"
"Very often","2–4 hours",4,5,5,4,5,5,4,5,4,5,5,5,4,6,5,4,6,4,5,6,5,6,6,"35 - 44","Man","US","Some university/college","Employed full time",5,"0","0","1","0","0","1","0","0","1","0"
"Often","7–8 hours",1,4,1,4,1,4,1,1,1,1,1,1,4,7,1,1,1,1,1,4,7,6,7,"45 - 54","Man","US","Postgraduate degree","Employed full time",6,"0","0","0","0","1","0","0","1","0","0"
"Rarely","2–4 hours",1,1,1,1,1,1,1,1,1,1,1,4,4,1,7,1,1,1,1,4,7,1,1,"55 - 65","Woman","UK","Some university/college","Employed part-time",7,"0","0","1","0","1","0","0","1","0","0"
"Very often","7–8 hours",1,6,6,6,1,6,6,2,7,1,5,5,6,5,3,6,5,2,6,6,7,2,5,"45 - 54","Woman","US","High school","Self-employed / freelance",5,"0","0","1","0","0","0","0","1","1","0"
"Never","9–10 hours",1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,1,7,1,1,"Over 65","Woman","US","Some university/college","Not currently working",7,"0","1","1","0","0","0","1","0","0","0"
"Occasionally","More than 12 hours",1,5,1,5,5,2,1,2,3,3,5,5,3,6,7,5,2,3,5,3,5,2,2,"25 - 34","Woman","Canada","Bachelor’s degree","Employed full time",4,"0","1","0","0","0","0","0","1","0","0"
"Very often","2–4 hours",4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,"25 - 34","Man","US","Postgraduate degree","Employed full time",7,"0","0","1","0","0","0","1","0","0","0"
"Occasionally","2–4 hours",5,6,5,6,6,4,5,6,5,3,4,7,7,6,6,6,5,3,6,7,7,2,5,"Over 65","Woman","US","Bachelor’s degree","Other",7,"0","0","0","0","1","0","1","1","0","0"
"Often","2–4 hours",6,6,6,6,1,4,6,4,4,6,5,2,1,2,3,5,3,3,3,1,7,1,6,"Over 65","Woman","US","Some university/college","Not currently working",7,"0","0","0","0","1","0","1","0","1","0"
"Occasionally","7–8 hours",1,4,2,4,1,4,4,1,1,1,1,1,1,4,4,4,4,2,2,4,7,1,2,"55 - 65","Woman","UK","High school","Not currently working",6,"0","0","1","0","0","1","0","0","0","0"
"Sometimes","More than 12 hours",5,5,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,6,6,"45 - 54","Man","US","Less than high school","Not currently working",6,"0","0","0","0","0","0","0","0","0","0"
"Often","7–8 hours",2,5,3,5,5,2,6,2,3,1,2,4,1,6,4,2,1,1,5,6,6,5,4,"35 - 44","Woman","UK","Bachelor’s degree","Employed part-time",5,"0","0","0","0","0","0","1","1","1","0"
"Sometimes","5–6 hours",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,"35 - 44","Woman","UK","Bachelor’s degree","Self-employed / freelance",7,"0","0","1","0","0","0","1","0","1","0"
"Everyday","2–4 hours",3,5,3,5,1,3,6,1,3,1,2,3,2,4,4,3,2,1,5,5,6,3,5,"55 - 65","Man","US","Bachelor’s degree","Employed full time",6,"0","0","1","0","0","0","0","1","0","0"
"Occasionally","2–4 hours",2,1,1,1,1,1,1,7,1,1,1,1,1,4,4,1,1,1,1,3,6,2,3,"35 - 44","Man","US","High school","Employed full time",6,"0","0","1","0","0","0","1","1","0","0"
"Very often","5–6 hours",5,6,5,5,2,5,5,2,4,5,2,2,2,4,6,2,2,2,5,6,7,4,6,"Over 65","Woman","UK","High school","Employed full time",7,"0","0","1","0","1","0","1","0","0","0"
"Occasionally","2–4 hours",2,2,2,2,6,4,2,2,2,1,4,4,4,6,6,5,4,3,5,3,4,5,3,"35 - 44","Woman","UK","Postgraduate degree","Not currently working",2,"0","1","0","0","0","0","1","0","1","0"
"Often","9–10 hours",5,6,5,5,2,5,5,4,4,5,6,4,2,5,2,6,4,3,5,5,6,3,5,"25 - 34","Man","UK","Bachelor’s degree","Employed full time",6,"0","1","1","0","0","0","0","1","0","0"
"Often","More than 12 hours",3,5,4,6,2,4,5,3,3,5,2,2,3,6,4,3,2,4,5,3,3,1,4,"35 - 44","Man","Canada","Other","Not currently working",3,"0","1","0","0","1","0","0","1","0","0"
